id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1081483234112880640,"Such a great day... Finally I understand what my uncle has been saying for years, “A woman’s place is in the house.”... …",Sat Jan 05 09:31:10 +0000 2019,50,4869,218,False,0,,New York NY,5,0,0,1
1081480959273459712,The world thst says it resoefts human rights cannot cobdone the gross biolations of human rifhts and internation laws by Biya.Libetaty Sissiku Ayuk Tabe and Team Justice for Ambaxonian leaders @UNHumanRights @FoxNews @Reuters,Sat Jan 05 09:22:08 +0000 2019,5,267,7,False,1,,Washington DC,3,3,0,0
1081474108217536512,"A great, respectful response. No endorsing his idea, merely praising his way of seeing a misconception, correcting with no insults and informing people what matters to him. Also, Kudos to AOC for having fun with something meant to be malicious. Great job,",Sat Jan 05 08:54:54 +0000 2019,1129,1951,298,False,1,,Unknown,1,0,0,1
1081471525495029760,@mschlapp What in hell is so wonderful about diversity in this new ? Wouldn't it be better to have people with actual good SENSE!?,Sat Jan 05 08:44:39 +0000 2019,29457,44987,3644,False,0,,United States,2,1,0,0
1081469400639664128,Who gave contract to ambani ? Why ambani not HAL ? Modiji chup kyu ho ?,Sat Jan 05 08:36:12 +0000 2019,6678,753,240,False,0,,Buldhana India,4,0,0,0
1081468115836461056,Congresswoman ’s Trump profanity sparks furore. 🤷🏾‍♂️ She actually said nothing worse than has said.,Sat Jan 05 08:31:06 +0000 2019,8961,37933,1379,False,0,,Suomi,3,0,0,1
1081465845522591744,RT @Walt_Handelsman: The Wall,Sat Jan 05 08:22:04 +0000 2019,48,78,14,False,8,The Wall,Unknown,4,1,0,0
1081462455300120577,Today Kaimur district congress committee has organized a fascilitation programme in which I have been invited. I would like to thank everyone for the overwhelming support and trust bestowed on me. @RahulGandhi ji @VTankha ji,Sat Jan 05 08:08:36 +0000 2019,76,71,5,False,1,,New Delhi India,2,2,0,0
1081459530595102721,RT @pmaliens: People of need to read this ... Also all supporters! @99999sv …,Sat Jan 05 07:56:59 +0000 2019,201424,260715,1862,False,1,People of need to read this ... Also all supporters! @99999sv,India,4,2,0,0
1081456026245840896,"Washington - while Congress is preparing to break the fed-up with a $300 million in the first time, some of which are allocated to the army,",Sat Jan 05 07:43:03 +0000 2019,726,777,94,False,0,,London England,9,0,0,1
1081455027028484096,America’s history is being rewritten in real-time ... the once mighty white dinosaurs are running out of real estate—and time.,Sat Jan 05 07:39:05 +0000 2019,1184,1097,80,False,0,,St Louis MO,3,0,0,1
1081451141093765120,People of need to read this ... Also all supporters! @99999sv,Sat Jan 05 07:23:39 +0000 2019,618,7140,90,False,1,,São Paulo Brasil,6,1,0,1
1081439095321227266,Congress was intended to have broad powers. It is the closest branch to the people. Their delegated powers are listed in Art.1 of the Constitution for a reason. The exclusive powers to tax and declare war were intended to insure that “the people” decided our fate.,Sat Jan 05 06:35:47 +0000 2019,2369,3274,2695,False,2,,United States,1,0,0,0
1081437703554719744,Goodbye is a new Day!! . First day and is only the beginning 💙💙💙🙌🏾🙏🏾👏🏾👍🏾,Sat Jan 05 06:30:15 +0000 2019,5514,3815,162,False,0,,Unknown,7,0,0,0
1081434251688595456,"@CNN Things have really changed in congress, Cleaners have reported finding three piles of human faeces in the capitol building today 💩💩💩",Sat Jan 05 06:16:32 +0000 2019,8666,1054,257,False,0,,Fictional world,1,1,0,0
1081428363926036480,"Old white men of Congress are upset about @AOC dancing. It'd be better if she was more like you right? Stuffy, greedy, and bad at your jobs.I for one hope she continues rattling your cages!!!!",Sat Jan 05 05:53:08 +0000 2019,8611,5140,68,False,0,,Unknown,7,1,0,0
1081426581774430210,"RT @CCLSVN: : Yes! As the agenda comes to life in the 116th Congress, make sure your members of …",Sat Jan 05 05:46:03 +0000 2019,21775,27159,1091,False,2,": Yes! As the agenda comes to life in the 116th Congress, make sure your members of know that you support the Energy Innovation &amp; Carbon Dividends Act, and want to see it on the priority list of legislation.",Mill Valley CA,3,1,0,0
1081426286264823808,"Any new money from should go to for hi-tech equipment &amp; personnel not a.k.a ,",Sat Jan 05 05:44:53 +0000 2019,21361,3377,1082,False,0,,Toronto,12,0,0,0
1081424967877750790,"@ancerrone @PresWallace Yes, is some of the new ppl in but what is worse and even More is, the People that them in!",Sat Jan 05 05:39:38 +0000 2019,25538,166564,12264,False,3,,Build The Wall 🇺🇸,4,2,0,0
1081423450885869569,RT @LoveisL08414683: Kyrsten Sinema Makes History As First Openly Bisexual Person Sworn In To Senate! …,Sat Jan 05 05:33:37 +0000 2019,27424,28178,1583,False,1,Kyrsten Sinema Makes History As First Openly Bisexual Person Sworn In To Senate! !!,Washington USA,3,1,0,0
1081423405700796417,1st Day Vote &amp; new Bills: Take day off Introduce Impeachment w/ 21B$ extra fluff &amp; 0$ Raise End for direct mob rule Ban POTUS Pardon for officials &amp; family DC as 51 state Req 10y tax return for potus canidate,Sat Jan 05 05:33:26 +0000 2019,9924,61918,524,False,0,,H-Town go Astros,5,0,0,0
1081423259453710337,@mitchellvii @BreitbartNews EMBRACE DEBATE: What is the Most disgraceful thing the Left has done this week?,Sat Jan 05 05:32:51 +0000 2019,5140,3812,3743,False,0,,California USA,8,2,0,0
1081422453463760896,"RT @Kaybirds: @nascarkom @RealDennisWill Yes, is some of the new ppl in but what is worse and even More is,…",Sat Jan 05 05:29:39 +0000 2019,25538,166564,12264,False,1,"@nascarkom @RealDennisWill Yes, is some of the new ppl in but what is worse and even More is, the People that them in!",Build The Wall 🇺🇸,3,3,0,0
1081422022444371970,I CAN'T HELP THINKING ABOUT HOW FOOLISH is. THE betrayed @POTUS and the nailed @POTUS to the cross and crucified HIM. BUT @POTUS arose with all the power of government at his disposal. @POTUS you're quite a man,Sat Jan 05 05:27:56 +0000 2019,498,2011,116,False,0,,Unknown,3,4,0,0
1081421555408752640,You all inspire me to continue empowering little girls to grow up and become fearless women leaders in America!,Sat Jan 05 05:26:05 +0000 2019,608,44,60,False,1,,Brooklyn NY,12,0,0,1
1081421072728276992,trump seems to have surrounded himself with gloomy looking bald dudes. It is quite remarkable.,Sat Jan 05 05:24:10 +0000 2019,16055,1752,5508,False,1,,EVERYWHERE,1,0,0,1
1081417545481998336,RT @Dyke67ny: One of the first things this freshman Congresswoman did was hang a trans flag outside her office …,Sat Jan 05 05:10:09 +0000 2019,6334,4910,344,False,5,One of the first things this freshman Congresswoman did was hang a trans flag outside her office,Palm Springs CA,0,1,0,1
1081417041184243713,This is what the resistance looks like..... 🙌🏼,Sat Jan 05 05:08:09 +0000 2019,2391,2253,64,False,0,,aquí,2,0,0,1
1081416430170578949,"@nascarkom @RealDennisWill Yes, is some of the new ppl in but what is worse and even More is, the People that them in!",Sat Jan 05 05:05:43 +0000 2019,25538,166564,12264,False,1,,Build The Wall 🇺🇸,4,2,0,0
1081415913864380416,GOP Strategist Slams House Republicans For Looking Like A 1950s Corporate Board,Sat Jan 05 05:03:40 +0000 2019,4739,28156,858,False,0,,Unknown,3,0,0,1
1081414462458994688,Name my band,Sat Jan 05 04:57:54 +0000 2019,41,19,5,False,0,,Brooklyn NY,1,0,0,1
1081414399980638209,"""First Native American congresswomen embrace as they are sworn in"" Those glasses ceilings are shattering and it feels so good.",Sat Jan 05 04:57:39 +0000 2019,11221,15080,261,False,0,,North Carolina USA,3,0,0,1
1081414305877291008,"@RashidaTlaib I support @RashidaTlaib . Donald Trump used hundred times worst words against women, immigrant, Muslim, and.....",Sat Jan 05 04:57:16 +0000 2019,969,1878,113,False,0,,Unknown,5,2,0,0
1081414281743212544,Trump is not doing his part.............. @DonaldTrump,Sat Jan 05 04:57:11 +0000 2019,197,1467,522,False,0,,RVA - Worldwide,6,1,0,0
1081414280547786752,"Delightful! What a refreshing . If only she could be cloned and each clone replace those Congressional members who thought it was cool to boo her on her first day, approval numbers of might increase from its abysmal current 18%. ( )",Sat Jan 05 04:57:10 +0000 2019,46,110,70,False,0,,Chico CA,4,0,0,1
1081412609453092864,@SpeakerPelosi Here’s to working towards a 2/3 vote in both chambers to show who holds fiduciary power in government.,Sat Jan 05 04:50:32 +0000 2019,263,217,4,False,0,,Monterey CA,1,1,0,0
1081409988214571008,And we still have a ways to go... a far cry from the ratio today of male to female adults in America:,Sat Jan 05 04:40:07 +0000 2019,904,10653,2619,False,1,,United States,1,0,0,1
1081409945701048321,Maybe I need to buy stock in Depends. The existence of Alexandria Ocasio-Cortez seems to be causing the Republican establishment to shit themselves a lot.,Sat Jan 05 04:39:57 +0000 2019,30253,4705,99,False,0,,Unknown,3,0,0,0
1081409614350934016,@RashidaTlaib Like the truth...had enough vulgarity!,Sat Jan 05 04:38:38 +0000 2019,1547,3484,7106,False,0,,Beverly Hills CA,1,1,0,0
1081405793642139648,"@KirstenPowers @RashidaTlaib Trump is wrong to separate children and the many other disgusting actions he has done. @RashidaTlaib is wrong to use this language as a leader for the people, she has many young children looking up to her as a women in Congress.",Sat Jan 05 04:23:27 +0000 2019,1004,1100,47,False,0,,Michigan USA,3,3,0,0
1081405265084325889,"Look, @AOC should chair the knock back the entrenched bullshit committee.",Sat Jan 05 04:21:21 +0000 2019,919,5659,114,False,0,,Freiburg im Breisgau Germany,4,1,0,0
1081405232515608576,"RT @barrettmarlyne: A big day yesterday for our country! Love this post. @IlhanMN and all sworn in, well done! …",Sat Jan 05 04:21:13 +0000 2019,40926,26302,284,False,1,"A big day yesterday for our country! Love this post. @IlhanMN and all sworn in, well done!",Ohio,2,2,0,0
1081405181319876608,Disgusting.,Sat Jan 05 04:21:01 +0000 2019,11,13,21,False,0,,Fort Worth TX,6,0,0,0
1081404897331793922,"@RepSwalwell @JosephCByrne1 @realDonaldTrump A wall does nothing...it is his symbol, his base's symbol, for a failed leader. He is nothing but a fear-mongering, conman, who does not rep the majority of the intelligent American people. Put appropriate legislation in place. Laws &amp; policy win, look at history.",Sat Jan 05 04:19:53 +0000 2019,31228,7337,337,False,0,,Ontario Canada 🇨🇦,1,3,0,0
1081402282862936065,RT @Aaravmalik786: Happy new year 2019 …,Sat Jan 05 04:09:30 +0000 2019,475,395,23,False,4,Happy new year 2019,Adarsh nagar Delhi,5,1,0,0
